Date,Lower,Upper
2023-12-15,0.48,0.52
2023-12-18,0.48,0.52
2023-12-19,0.48,0.52
2023-12-20,0.48,0.52
2023-12-21,0.48,0.52
2023-12-22,0.48,0.52
2023-12-26,0.48,0.52
2023-12-27,0.48,0.52
2023-12-28,0.48,0.52
2023-12-29,0.48,0.52
2024-01-02,0.48,0.52
2024-01-03,0.48,0.52
2024-01-04,0.47277777777777774,0.5272222222222223
2024-01-05,0.4707142857142857,0.5292857142857142
2024-01-08,0.48,0.52
2024-01-09,0.48,0.52
2024-01-10,0.48,0.52
2024-01-11,0.48,0.52
2024-01-12,0.48,0.52
2024-01-15,0.48,0.52
2024-01-16,0.48,0.52
2024-01-17,0.47845238095238096,0.521547619047619
2024-01-18,0.4449206349206349,0.5550793650793651
2024-01-19,0.46297619047619043,0.5370238095238096
2024-01-22,0.48,0.52
2024-01-23,0.48,0.52
2024-01-24,0.48,0.52
2024-01-25,0.48,0.52
2024-01-26,0.48,0.52
2024-01-29,0.48,0.52
2024-01-30,0.48,0.52
2024-01-31,0.48,0.52
2024-02-01,0.44595238095238093,0.5540476190476191
2024-02-02,0.4660714285714286,0.5339285714285714
2024-02-05,0.46865079365079365,0.5313492063492063
2024-02-06,0.4774206349206349,0.5225793650793651
2024-02-07,0.48,0.52
2024-02-08,0.48,0.52
2024-02-09,0.48,0.52
2024-02-12,0.48,0.52
2024-02-13,0.45575396825396824,0.5442460317460318
2024-02-14,0.4062301587301587,0.5937698412698413
2024-02-15,0.43666666666666665,0.5633333333333334
2024-02-16,0.44956349206349205,0.5504365079365079
2024-02-19,0.4387301587301587,0.5612698412698413
2024-02-20,0.4387301587301587,0.5612698412698413
2024-02-21,0.4098412698412698,0.5901587301587302
2024-02-22,0.4098412698412698,0.5901587301587302
2024-02-23,0.42738095238095236,0.5726190476190477
2024-02-26,0.4707142857142857,0.5292857142857142
2024-02-27,0.4712301587301587,0.5287698412698413
2024-02-28,0.48,0.52
2024-02-29,0.4614285714285714,0.5385714285714286
2024-03-01,0.48,0.52
2024-03-04,0.48,0.52
2024-03-05,0.48,0.52
2024-03-06,0.42119047619047617,0.5788095238095238
2024-03-07,0.4196428571428571,0.5803571428571429
2024-03-08,0.42428571428571427,0.5757142857142857
2024-03-11,0.41293650793650793,0.5870634920634921
2024-03-12,0.39849206349206345,0.6015079365079365
2024-03-13,0.4578174603174603,0.5421825396825397
2024-03-14,0.46503968253968253,0.5349603174603175
2024-03-15,0.42376984126984124,0.5762301587301587
2024-03-18,0.4217063492063492,0.5782936507936508
2024-03-19,0.4263492063492063,0.5736507936507936
2024-03-20,0.45936507936507937,0.5406349206349207
2024-03-21,0.48,0.52
2024-03-22,0.48,0.52
2024-03-25,0.48,0.52
2024-03-26,0.48,0.52
2024-03-27,0.48,0.52
2024-03-28,0.48,0.52
2024-03-29,0.48,0.52
2024-04-01,0.48,0.52
2024-04-02,0.46349206349206346,0.5365079365079365
2024-04-03,0.40003968253968253,0.5999603174603175
2024-04-04,0.41654761904761906,0.583452380952381
2024-04-05,0.3613492063492063,0.6386507936507937
2024-04-08,0.36547619047619045,0.6345238095238096
2024-04-09,0.381984126984127,0.618015873015873
2024-04-15,0.35,0.65
2024-04-16,0.35,0.65
2024-04-17,0.35,0.65
2024-04-18,0.35,0.65
2024-04-19,0.35,0.65
2024-04-22,0.35,0.65
2024-04-24,0.3706349206349206,0.6293650793650793
2024-04-25,0.36238095238095236,0.6376190476190476
2024-04-26,0.3757936507936508,0.6242063492063492
2024-04-29,0.383015873015873,0.616984126984127
2024-04-30,0.39746031746031746,0.6025396825396826
2024-05-02,0.3726984126984127,0.6273015873015874
