Date,Close,High,Low,Open,Volume
2025-06-17,259.08050537109375,263.28716114120704,258.8330550316753,262.54481012295173,21056327
2025-06-18,254.6264190673828,258.09072408870776,253.38916727405248,257.5958233713756,27511803
2025-06-19,249.42996215820312,256.85347293672106,249.42996215820312,255.36877078101747,20781123
2025-06-20,254.1315155029297,255.86366799418627,251.40956158809792,254.62641621471727,19876258
2025-06-23,250.4197540283203,251.40955542764175,246.65850569026475,250.4197540283203,27919468
2025-06-24,271.70050048828125,272.9377523119984,262.29738662803106,267.2463939228996,60708109
2025-06-25,268.7310791015625,272.9377350359332,267.74127770524,272.6902846868526,23663253
2025-06-26,262.5448303222656,269.96834107595834,262.2973799638092,268.97853964213266,17081008
2025-06-27,265.0193176269531,266.99892037299946,260.56521144834886,262.5448141943952,25137482
2025-06-30,280.60870361328125,281.10360432512124,265.7616822580812,266.5040333258412,60838790
2025-07-01,287.5373229980469,289.51692591025375,279.8663617132453,281.3510638974004,37385296
2025-07-02,288.0321960449219,292.98120284981746,285.5576926424741,287.7847457046771,36959749
2025-07-03,288.527099609375,292.73375543558376,288.03219892393867,291.99140440742923,24795522
2025-07-04,289.7643737792969,292.23887739824903,288.2796716079256,289.26947305550647,22878532
2025-07-07,284.5679016113281,288.27965684973674,283.5781002144192,285.55770300823707,22479863
2025-07-08,277.6392822265625,288.2796468751741,276.15458018257016,286.300044149851,30031285
2025-07-09,283.8255615234375,284.56791259978473,278.3816536302242,278.62910398900664,23296990
2025-07-10,288.0321960449219,290.2592491071249,286.30004366320844,286.5474940034532,34795243
2025-07-11,290.0118103027344,293.9710159041369,287.7847571519454,292.98121450378625,34145288
2025-07-14,288.0321960449219,292.2388518290831,287.7847457046771,290.2592491071249,32569360
2025-07-16,282.0934143066406,290.25927629972756,277.6393077649568,288.0322230288857,40611252
2025-07-17,286.300048828125,287.5373005516692,282.09339296807474,286.54749917283385,29728257
2025-07-18,286.0526123046875,288.774566228002,284.56791016469776,286.5475130180174,33276220
2025-07-21,291.0016174316406,292.4863195613939,287.53731246221633,287.7847628171752,31054005
2025-07-22,294.2184753417969,295.20827677271967,291.4965214067592,291.4965214067592,37359500
2025-07-23,291.49652099609375,296.44552814373543,290.75416992394753,295.70317707158915,24710463
2025-07-24,292.981201171875,295.70315489897854,290.2592474447714,292.981201171875,27444494
2025-07-25,290.0118103027344,293.9710159041369,290.0118103027344,293.2286648538739,15138879
2025-07-28,287.28985595703125,291.4965119012772,287.04240560736974,290.7541608522926,17995538
2025-07-29,282.3408508300781,288.03220890991315,282.3408508300781,287.04240750472445,19619086
2025-07-30,284.3204650878906,286.05261761671153,282.3408621978096,282.5883125590697,22915366
2025-07-31,285.06280517578125,286.79495763778687,283.08320236206055,285.5577058792114,28385427
2025-08-01,285.8051452636719,287.7847480014289,283.82554252591484,285.55769492145225,29061004
2025-08-04,291.49652099609375,293.47612385515043,287.53731527798044,288.03221599274457,36501829
2025-08-05,292.486328125,294.9608317470389,292.2388777627961,293.2286792116117,22228274
2025-08-06,305.3537292480469,308.0756830744071,294.96081463830785,295.4557153340097,70872223
2025-08-07,305.8486328125,308.5705866643912,302.8792286104369,306.59098386301577,40809896
2025-08-08,311.04510498046875,311.5400057043836,306.0960977413205,306.3435481032779,34231549
2025-08-11,312.52978515625,314.50938791258415,308.57057964358177,313.5195865344171,34537595
2025-08-12,316.2415466308594,318.46859977614713,308.5705857970905,312.0348906897603,41165145
2025-08-13,320.943115234375,321.6854663104761,314.01450519076474,317.47881021256984,31590210
2025-08-14,322.6752624511719,327.87171989862173,318.9635071315648,319.2109574862053,35978676
2025-08-15,327.624267578125,327.87171793128067,321.4380087492329,322.92271086816703,24854745
2025-08-18,330.5936584472656,331.83091016301137,325.6446515842826,327.87170467262496,24014896
2025-08-19,335.04779052734375,336.0375919764644,326.63447820981816,331.3360350931413,33939647
2025-08-20,335.29522705078125,337.02737951525023,330.5936703615083,335.04777669871424,25992738
2025-08-21,333.5630798339844,338.0171862412631,332.32582805418474,336.5324841055035,26330388
2025-08-22,334.0579833984375,335.54268554687496,330.59367838541664,334.0579833984375,23038084
2025-08-25,334.8003234863281,337.76972768576337,332.8207206867046,334.8003234863281,29965988
2025-08-26,339.9967956542969,342.71874962241714,334.3054373573181,335.29523880027097,34867256
2025-08-27,335.29522705078125,342.4712872607242,335.04777669871424,341.48148585245616,22120352
2025-08-28,336.532470703125,340.73912658691404,334.3054175881779,335.54266931870404,20691413
2025-08-29,331.5834655761719,337.02737321995977,330.34621383894734,336.7799228725149,18346545
2025-09-01,334.0579833984375,336.7799373372396,331.3360294596354,331.58347981770834,17815923
2025-09-02,327.5,336.0,316.5,335.5,35955211
2025-09-03,329.25,333.25,319.5,326.25,32674168
2025-09-04,322.5,334.0,321.25,329.5,35176179
2025-09-05,319.5,327.5,319.0,324.0,27203856
2025-09-08,309.0,315.5,307.5,313.25,27586255
2025-09-09,316.75,320.75,310.5,310.75,40493190
2025-09-10,322.5,322.75,312.5,318.25,34820863
2025-09-11,316.0,324.75,314.5,323.25,30023616
2025-09-12,314.0,316.5,311.0,315.25,21179398
2025-09-15,331.75,332.5,310.25,313.25,52033362
2025-09-16,327.0,331.5,325.0,331.5,40226846
2025-09-17,321.5,327.25,321.25,327.0,34230277
2025-09-18,317.75,326.0,317.0,323.0,34917799
2025-09-19,319.75,322.0,313.25,319.0,43870527
2025-09-22,326.0,330.25,324.5,327.5,43892594
2025-09-23,324.75,327.5,320.0,323.0,40017266
2025-09-24,324.0,327.5,317.75,326.0,42762282
2025-09-25,328.25,332.5,325.5,325.5,39070278
2025-09-26,319.75,329.5,319.25,329.25,54508756
2025-09-29,319.25,324.5,316.5,318.0,37562966
2025-09-30,315.0,323.75,314.0,321.25,33491387
